,시군명,식당,식당_영문명,최후의음식,위도,경도
2424,의정부시,스푼더마켓,seupundeomakes,0,37.7447962,127.0952038
2425,의정부시,한스델리,hanseudelli,0,37.7400394,127.0485464
2426,의정부시,화덕돈통,hwadeogdontong,불고기,37.7454882,127.097349
2427,의정부시,핏제리아 루카,pisjelia luka,피자,37.7454846,127.0904053
2428,의정부시,홍인동 생선요리 전문점,hong-indong saengseon-yoli jeonmunjeom,0,37.746957,127.0970105
2429,의정부시,고기먹는날,ilsanbulgogi,갈비구이,37.7165969,127.0474318
2430,의정부시,해주,haeju,0,37.7112089,127.0480183
2431,의정부시,미스터아구 의정부점,miseuteoagu uijeongbujeom,0,37.7260673,127.0439098
2432,의정부시,단판승,danpanseung,불고기,37.725291,127.0478227
2433,의정부시,일미만두 1981 의정부,ilmimandu 1981 uijeongbu,0,37.7196874,127.0469573
2434,의정부시,이바돔감자탕(의정부민락점),ibadomgamjatang(uijeongbuminlagjeom),감자탕,37.7453736,127.0940926
2435,의정부시,명태 대가,myeongtae daega,0,37.7333489,127.0379014
2436,의정부시,진미식당,jinmisigdang,0,37.7439311,127.0496266
2437,의정부시,조마루감자탕 의정부점,jomalugamjatang uijeongbujeom,감자탕,37.7441285,127.0517371
2438,의정부시,미락복,milagbog,0,37.7323484,127.0396025
2439,의정부시,회룡골찜마당,hoelyong-goljjimmadang,0,37.7239853,127.0459277
2440,의정부시,주문진생선구이찌개,jumunjinsaengseongu-ijjigae,0,37.7364554,127.0435412
2441,의정부시,형네식당,hyeongnesigdang,0,37.7441204,127.0493771
2442,의정부시,현대복어,hyeondaebog-eo,0,37.7345659,127.0355991
2443,의정부시,평양면옥,pyeong-yangmyeon-og,"물냉면, 비빔냉면",37.7309312,127.0474291
2444,의정부시,명성부대찌개,myeongseongbudaejjigae,0,37.7439312,127.049377
2445,의정부시,부흥국수 해방촌국수,buheung-gugsu haebangchongugsu,0,37.7439826,127.055708
2446,의정부시,부산밀면,busanmilmyeon,막국수,37.7207955,127.0471508
